[BACKTEST] Starting for BTC-USD on 15m...
[HURST] TRENDING | R/S=0.610 DFA=0.684 Mean=0.647 Stable=true
[REGIME] TRENDING | Heuristic Score=18.5% | Actionable=false
[HURST] TRENDING | R/S=0.572 DFA=0.601 Mean=0.586 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.594 DFA=0.610 Mean=0.602 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.618 DFA=0.643 Mean=0.630 Stable=true
[REGIME] TRENDING | Heuristic Score=10.2% | Actionable=false
[HURST] TRENDING | R/S=0.662 DFA=0.651 Mean=0.656 Stable=true
[REGIME] TRENDING | Heuristic Score=23.1% | Actionable=false
[HURST] TRENDING | R/S=0.651 DFA=0.719 Mean=0.685 Stable=true
[REGIME] TRENDING | Heuristic Score=37.5% | Actionable=false
[HURST] TRENDING | R/S=0.663 DFA=0.588 Mean=0.626 Stable=true
[REGIME] TRENDING | Heuristic Score=7.8% | Actionable=false
[HURST] TRENDING | R/S=0.625 DFA=0.668 Mean=0.646 Stable=true
[REGIME] TRENDING | Heuristic Score=18.2% | Actionable=false
[HURST] TRENDING | R/S=0.553 DFA=0.605 Mean=0.579 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.588 DFA=0.613 Mean=0.600 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.561 DFA=0.547 Mean=0.554 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.639 DFA=0.586 Mean=0.613 Stable=true
[REGIME] TRENDING | Heuristic Score=1.3% | Actionable=false
[HURST] TRENDING | R/S=0.638 DFA=0.543 Mean=0.590 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.619 DFA=0.551 Mean=0.585 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.628 DFA=0.580 Mean=0.604 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.545 DFA=0.529 Mean=0.537 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.625 DFA=0.636 Mean=0.631 Stable=true
[REGIME] TRENDING | Heuristic Score=10.3% | Actionable=false
[HURST] TRENDING | R/S=0.663 DFA=0.604 Mean=0.634 Stable=true
[REGIME] TRENDING | Heuristic Score=11.9% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.550 DFA=0.405 Mean=0.477 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.631 DFA=0.616 Mean=0.624 Stable=true
[REGIME] TRENDING | Heuristic Score=6.8% | Actionable=false
[HURST] TRENDING | R/S=0.580 DFA=0.546 Mean=0.563 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.559 DFA=0.466 Mean=0.513 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.621 DFA=0.505 Mean=0.563 Stable=false
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.645 DFA=0.544 Mean=0.595 Stable=false
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.622 DFA=0.500 Mean=0.561 Stable=false
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.619 DFA=0.595 Mean=0.607 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.563 DFA=0.604 Mean=0.583 Stable=true
